video_id,title,channel_name,published_at,duration,view_count,like_count,comment_count,total_words,sensitive_count,sensitive_ratio,classification,found_terms,ad_status,violence_death_count,sexual_content_count,profanity_count,drugs_substances_count,hate_speech_slurs_count,mental_health_count,political_controversial_count,weapons_military_count,coded_numbers_count
-1ZbQO_VR4o,Interview w/ Professor Tim Orr: On The Charge of the First Minnesota. - Part. 2.,midwesternmarx,2021-06-03,PT39M29S,746,45,0,7117,63,0.8852,Likely Monetised,"dead, white, kill, god, attack, burn, die, cock, shoot, suicide",Yes,15,1,3,0,1,2,33,8,0
-3AwS2USPhM,Carlos Garrido on the ACP and the US | Marx Engels Lenin Institute,midwesternmarx,2024-11-17,PT1H13M50S,6449,440,55,12799,66,0.5157,Likely Monetised,"nazi, suppress, dead, inflation, white, evil, wrong, kill, attack, crime",Yes,22,0,6,0,15,0,21,2,0
-5cp4L8pIG8,,,,,0,0,0,3530,22,0.6232,Likely Monetised,"worst, strike, hell, damn, burn, insane, shoot, destroy",Yes,15,0,5,0,0,0,1,1,0
-8Ui4ptkDgc,"A Chat With Industrial Worker and Union Member, Steve Meier",midwesternmarx,2020-08-07,PT33M2S,733,72,4,5396,24,0.4448,Likely Monetised,"death, die, strike, pandemic, white, corruption, sex, war, burn, attack",Yes,5,1,0,0,1,0,17,0,0
-BGePMlXfLQ,People teach this?!,Shadiversity,2025-09-27,PT9M17S,33131,3814,473,1403,15,1.0691,Likely Monetised,"strike, dead, war, defeat, nonsense, kill, attack, stupid, gun",No,4,0,4,0,0,0,6,1,0
-ax8UMgwrww,Crash And Burn - The JJ Abrams Story,The Critical Drinker,2025-09-15,PT12M55S,1532429,71455,6570,2410,31,1.2863,Likely Monetised,"jail, bail, hate, die, dead, meltdown, burn, controversy, disaster, regret",Yes,8,0,3,0,1,0,19,0,0
-bp3jkcHAxc,,,,,0,0,0,1821,23,1.263,Likely Monetised,"threat, bounty, strike, gun, war, defeat, wrong, crime, damn, stupid",Yes,5,0,5,0,0,0,11,2,0
-cEdT-mCFYs,Corporate America Is Adult Day Care,The Podcast of the Lotus Eaters,2022-07-07,PT21M9S,395808,18153,6998,4595,8,0.1741,Likely Monetised,"mug, wrong, god, damn, shoot",Yes,0,0,4,0,0,0,2,2,0
-dj1EqspKF8,Woke DA Orders Prosecutors To Go Soft On Black Criminals,Actual Justice Warrior,2025-04-28,PT16M9S,49624,3684,1244,3310,132,3.9879,Likely Demonetised,"racism, dead, white, evil, assault, kill, god, crime, attack, wrong",Yes,39,0,5,0,49,0,38,1,0
-kGiENpkWIM,Unpacking Hip Hop's Allegiance to Abusers | OLAY & FRIENDS,olurinatti,2024-05-26,PT1H45M41S,64900,3689,355,23096,283,1.2253,Likely Monetised,"racism, hate, dead, white, rape, assault, wrong, god, crime, attack",,74,26,42,0,68,3,69,1,0
-nzty8CDhV4,,,,,0,0,0,4989,11,0.2205,Likely Monetised,"strike, disaster, censorship, war, god, stupid, destroy",Yes,2,0,4,0,0,0,5,0,0
-qDieARqKdM,Why Tay K Did The Race,olurinatti,2024-09-17,PT10M15S,61694,6383,515,2097,115,5.484,Likely Demonetised,"bail, felony, white, kill, wrong, crime, death, die, prosecutor, shoot",,50,0,2,0,25,0,30,8,0
02H462il4wo,Diversity in World War 2,Three Arrows,2018-02-27,PT12M20S,488029,23139,3359,2539,50,1.9693,Likely Monetised,"weed, nazi, white, bullshit, obnoxious, fuck, loser, war, wrong, black",No,0,0,7,1,25,0,17,0,0
0EZrD1D9Das,,,,,0,0,0,602,9,1.495,Likely Monetised,"hate, nazi, white, wrong, insane",Yes,0,0,2,0,7,0,0,0,0
0L0IYGABPAc,Irish Patriots Defeat Antifa and Find Feds,The Podcast of the Lotus Eaters,2024-04-08,PT19M7S,398763,18514,2863,3801,29,0.763,Likely Monetised,"racist, racism, scumbags, hate, hang, nazi, opposition, antifa, evil, false",Yes,1,0,2,0,15,0,11,0,0
0P7OTVd8o4g,Pokimane's Return Stream was a Disaster,Hero Hei,2026-01-25,PT5M13S,210670,7731,1339,1032,3,0.2907,Likely Monetised,"hate, hypocrite",Yes,0,0,2,0,1,0,0,0,0
0PJjjQgl2BE,,,,,0,0,0,1836,18,0.9804,Likely Monetised,"dead, war, god, fight, pain, destroy",Yes,3,0,1,0,0,1,13,0,0
0Yvjf6JL2o0,,,,,0,0,0,527,8,1.518,Likely Monetised,"propaganda, black, destroy, false",Yes,1,0,2,0,4,0,1,0,0
0efB-VfZXHk,The US's War on Iran and the Iran-Cuba Friendship | Shabbir Rizvi,midwesternmarx,2023-12-18,PT25M47S,926,63,8,4636,39,0.8412,Likely Monetised,"genocide, hang, hate, death, die, dead, evil, war, majority, dictator",Yes,7,0,3,0,9,0,19,1,0
0joT_T6CsDg,Nobody 2 - A Fun But Predictable Sequel,The Critical Drinker,2025-08-19,PT5M27S,306464,24236,1376,1102,3,0.2722,Likely Monetised,"attack, fight, wrong",Yes,1,0,1,0,0,0,1,0,0
0oU_bhuLQXY,,,,,0,0,0,3321,20,0.6022,Likely Monetised,"die, dead, strike, war, black, mug, kill, god, crime, graffiti",Yes,6,0,3,0,2,1,8,0,0
0qyAKUIED5I,,,,,0,0,0,3954,27,0.6829,Likely Monetised,"discrimination, hell, white, judge, sexual, majority, blood, black, damn, shoot",Yes,1,1,2,0,20,0,1,2,0
0qynQm7M9ZY,Hollywood is COOKED - Tinseltown MELTDOWN,Nerdrotic,2026-03-05,PT24M15S,515758,41444,4270,4675,34,0.7273,Likely Monetised,"worst, hang, die, strike, hell, white, disaster, loser, black, majority",Yes,9,0,11,0,8,0,5,1,0
0zhJVfNtn80,Liberals Claim Capitol Riots are Worse than 9/11,midwesternmarx,2021-02-10,PT10M22S,1830,251,27,1819,37,2.0341,Uncertain,"worst, propaganda, racist, murder, die, strike, pandemic, terrorist, war, nonsense",No,14,0,6,0,2,0,11,0,4
15MtcW0YdMo,'Melania' Completely DESTROYS Media Lies w/ HUGE Opening Weekend Box Office,Geeks + Gamers,2026-02-01,PT4M14S,19120,2068,471,665,7,1.0526,Likely Monetised,"racist, propaganda, hate, disaster, sexist, nonsense",Yes,1,0,1,0,4,0,1,0,0
18hJQTDogNI,28 Years Later: The Bone Temple - This One Surprised Me!,The Critical Drinker,2026-01-16,PT6M47S,899026,41636,3189,1464,12,0.8197,Likely Monetised,"threat, virus, murder, die, torture, hell, villain, evil, kill, nipple",Yes,4,1,4,0,0,0,3,0,0
1Sf-19gr9pM,PSYCHO NURSE FINDS OUT AFTER USING DIMENTIA PATIENTS AGAINST ICE AGENTS!,TheQuartering,2026-02-20,PT13M3S,48506,5915,1115,2251,29,1.2883,Likely Monetised,"hate, damage, dead, die, white, lawsuit, recovery, blood, black, attack",Yes,12,0,1,0,9,3,3,1,0
1b-QtoSfM38,YouTube and the Politics of Pessimism,Three Arrows,2020-02-14,PT27M16S,492751,24240,4569,5158,61,1.1826,Likely Monetised,"white, loser, dictator, crime, attack, stupid, propaganda, die, nonsense, majority",Yes,28,0,5,0,21,1,5,1,0
1pFr8Ah75wE,Avengers: Doomsday - Have Marvel Learned From Their Mistakes?,The Critical Drinker,2026-01-05,PT9M5S,1344251,72776,7068,1792,19,1.0603,Likely Monetised,"damage, dead, hell, disaster, war, defeat, nonsense, god, burn, damn",Yes,5,0,5,0,0,0,9,0,0
1t6gFJCpI50,Crash And Burn - The Ezra Miller Story,The Critical Drinker,2026-02-16,PT11M6S,1254399,66976,7821,2089,37,1.7712,Likely Monetised,"bail, weed, dead, assault, wrong, burn, crime, kill, die, jail",Yes,12,1,6,1,1,0,12,4,0
1xclzuq1dNM,Predator: Badlands - Disney Consumes Another Franchise,The Critical Drinker,2025-11-07,PT8M20S,1260882,77547,15161,1641,14,0.8531,Likely Monetised,"hate, strike, hell, kill, black, attack, insane, fight",Yes,8,0,2,0,2,0,2,0,0
24pJeAIbdpY,LATEST TRUMP ASSASSIN TAKES VERY BIZZARE TWIST,TheQuartering,2026-02-23,PT12M46S,57726,4715,810,2049,13,0.6345,Likely Monetised,"threat, white, evil, black, weapon, shoot",Yes,0,0,0,0,3,0,3,7,0
2BDEuxKU_NI,How This Marine Became a Killer,olurinatti,2023-05-12,PT10M18S,17008,2919,219,1903,69,3.6259,Likely Demonetised,"dead, white, kill, crime, attack, shit, death, die, shoot, racist",,23,0,2,0,29,1,8,6,0
2UlHMN-rlpU,Darth Vader AI Fortnite is The Greatest Mistake Ever,Geeks + Gamers,2025-05-17,PT7M30S,78375,5248,707,921,18,1.9544,Likely Monetised,"racism, hang, thug, white, loser, god, kill, stupid",Yes,1,0,7,0,4,0,6,0,0
2ZWBPikZxO8,TRANS ATTACK STOPPED!,TheQuartering,2026-03-13,PT11M10S,49857,5086,715,2000,42,2.1,Uncertain,"cigarette, dead, inflation, god, kill, crime, wrong, stupid, mug, prosecutor",Yes,10,0,11,1,0,0,15,5,0
2bcKKs6vpGU,PAWN STARS MASSIVE SCAM,TheQuartering,2026-03-06,PT13M5S,160407,8612,2357,2336,16,0.6849,Likely Monetised,"meth, dead, alcohol, censorship, shoot, mug, blood, kill, fight, surgery",Yes,5,0,0,5,0,0,5,1,0
2hyzu8KSiI8,"Starfleet Academy is Worse Than Prison - Episode 6: Come, Let's Dumb",Nerdrotic,2026-02-15,PT19M26S,454132,29859,3799,4000,77,1.925,Likely Monetised,"hate, dead, white, wrong, burn, god, crime, attack, stupid, death",Yes,24,5,12,0,10,3,12,11,0
