video_id,title,channel_name,total_comments,creator_comments,perception_comments,creator_perception,viewer_perception,perception_ratio,monetization_pressure_mentions,censorship_behavior_mentions,off_platform_diversion_mentions,suppression_mechanisms_mentions
-3AwS2USPhM,Carlos Garrido on the ACP and the US | Marx Engels Lenin Institute,midwesternmarx,46,0,1,0,1,2.17,0,1,0,0
-8Ui4ptkDgc,"A Chat With Industrial Worker and Union Member, Steve Meier",midwesternmarx,4,0,0,0,0,0.0,0,0,0,0
-BGePMlXfLQ,People teach this?!,Shadiversity,173,0,0,0,0,0.0,0,0,0,0
-BlFM5tsfvA,Cracker Barrel BACKFIRE Goes Nuclear,Geeks + Gamers,405,0,0,0,0,0.0,0,0,0,0
-ax8UMgwrww,Crash And Burn - The JJ Abrams Story,The Critical Drinker,1277,0,2,0,2,0.16,1,1,0,0
-cEdT-mCFYs,Corporate America Is Adult Day Care,The Podcast of the Lotus Eaters,1846,0,2,0,2,0.11,0,1,1,0
-dj1EqspKF8,Woke DA Orders Prosecutors To Go Soft On Black Criminals,Actual Justice Warrior,505,0,1,0,1,0.2,0,1,0,0
-h3sprJTNpo,,,179,79,0,0,0,0.0,0,0,0,0
-kGiENpkWIM,Unpacking Hip Hop's Allegiance to Abusers | OLAY & FRIENDS,olurinatti,307,0,2,0,2,0.65,0,0,1,1
-qDieARqKdM,Why Tay K Did The Race,olurinatti,388,0,0,0,0,0.0,0,0,0,0
02H462il4wo,Diversity in World War 2,Three Arrows,942,0,0,0,0,0.0,0,0,0,0
0L0IYGABPAc,Irish Patriots Defeat Antifa and Find Feds,The Podcast of the Lotus Eaters,990,0,3,0,3,0.3,0,2,0,1
0efB-VfZXHk,The US's War on Iran and the Iran-Cuba Friendship | Shabbir Rizvi,midwesternmarx,3,0,0,0,0,0.0,0,0,0,0
0joT_T6CsDg,Nobody 2 - A Fun But Predictable Sequel,The Critical Drinker,455,0,0,0,0,0.0,0,0,0,0
0mydi7M6wRA,Anheuser-Busch Does Not Get It,Culture Casino,221,0,0,0,0,0.0,0,0,0,0
0qynQm7M9ZY,Hollywood is COOKED - Tinseltown MELTDOWN,Nerdrotic,975,0,4,0,4,0.41,0,3,1,0
0zhJVfNtn80,Liberals Claim Capitol Riots are Worse than 9/11,midwesternmarx,13,0,0,0,0,0.0,0,0,0,0
11z-fmeypoc,Marathon Launch already gave Bungie a Panic Attack,Hero Hei,562,0,1,0,1,0.18,0,1,0,0
15MtcW0YdMo,'Melania' Completely DESTROYS Media Lies w/ HUGE Opening Weekend Box Office,Geeks + Gamers,430,0,1,0,1,0.23,0,1,0,0
18hJQTDogNI,28 Years Later: The Bone Temple - This One Surprised Me!,The Critical Drinker,971,0,3,0,3,0.31,0,3,0,0
18qFavdolMI,"You Are the Media Now - It's the End of the Legacy Media as We Know It, and I Feel Fine",Nerdrotic,725,0,7,0,7,0.97,0,6,0,1
1Sf-19gr9pM,PSYCHO NURSE FINDS OUT AFTER USING DIMENTIA PATIENTS AGAINST ICE AGENTS!,TheQuartering,378,0,0,0,0,0.0,0,0,0,0
1b-QtoSfM38,YouTube and the Politics of Pessimism,Three Arrows,1388,0,19,0,19,1.37,1,14,5,0
1pFr8Ah75wE,Avengers: Doomsday - Have Marvel Learned From Their Mistakes?,The Critical Drinker,1276,0,1,0,1,0.08,0,1,0,0
1t6gFJCpI50,Crash And Burn - The Ezra Miller Story,The Critical Drinker,1555,0,2,0,2,0.13,2,0,0,0
1xclzuq1dNM,Predator: Badlands - Disney Consumes Another Franchise,The Critical Drinker,2107,0,1,0,1,0.05,0,1,0,0
24pJeAIbdpY,LATEST TRUMP ASSASSIN TAKES VERY BIZZARE TWIST,TheQuartering,387,0,0,0,0,0.0,0,0,0,0
2BDEuxKU_NI,How This Marine Became a Killer,olurinatti,185,0,0,0,0,0.0,0,0,0,0
2TjoSfDJOcQ,RDJ QUITS Avengers Doomsday? Script Chaos!,Culture Casino,349,1,0,0,0,0.0,0,0,0,0
2UlHMN-rlpU,Darth Vader AI Fortnite is The Greatest Mistake Ever,Geeks + Gamers,335,0,2,0,2,0.6,0,2,0,0
2W4IIQlQvjM,Website ATTACKS Audience - Gets Hit w/ Mass Layoffs ,Geeks + Gamers,155,0,0,0,0,0.0,0,0,0,0
2ZWBPikZxO8,TRANS ATTACK STOPPED!,TheQuartering,378,0,0,0,0,0.0,0,0,0,0
